image,x,y,score,hit
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,80,3.963,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,80,4.058,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,80,4.148,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,80,4.244,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,80,4.377,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,0,100,6.883,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,20,100,4.001,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,40,100,3.885,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,60,100,3.753,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,80,100,3.772,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,100,100,3.933,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,120,100,4.176,0
orange_pos_clean_01/orange_pos_003150_20260511_163847_309.png,140,100,4.200,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,0,6.390,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,0,4.502,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,0,4.719,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,0,4.997,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,0,8.011,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,0,9.878,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,0,5.409,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,0,2.886,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,20,4.285,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,20,20,5.030,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,40,20,4.241,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,60,20,5.306,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,80,20,8.948,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,100,20,7.979,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,120,20,4.846,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,140,20,2.975,0
orange_pos_clean_01/orange_pos_003151_20260511_163849_036.png,0,40,2.224,0
