image,x,y,score,hit
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,100,60,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,120,60,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,140,60,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,0,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,20,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,40,80,80.483,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,60,80,70.657,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,80,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,100,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,120,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,140,80,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,0,100,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,20,100,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,40,100,86.140,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,60,100,34.891,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,80,100,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,100,100,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,120,100,0.000,0
orange_pos_clean_01/orange_pos_003155_20260511_163851_352.png,140,100,0.000,0
orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png,0,0,0.000,0
orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png,20,0,0.000,0
orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png,40,0,0.000,0
orange_pos_clean_01/orange_pos_003156_20260511_163851_743.png,60,0,0.000,0
